"name";"price";"category_id"
"Betonkeverő";2000;1
"Betonkeverő";4000;1
"Betonpumpa";35000;1
"Betonkeverő";5000;1
"Parketta csiszoló";6000;2
"Parketta szélcsiszoló";3000;2
"Benzines betonmaró";2000;2
"Betoncsiszoló";7000;2
"Döngölőbéka";5500;5
"Lapvibrátor";5500;5
"Tűvibrátor";4500;5
"Vibrogerenda";6000;5
"Vibrációs lehúzó";5000;5
"Lehúzó vibrátor";6000;5
"Lapvibrátor";5500;5
"Stroke4 Labvibrátor";5500;5
"Szőnyeg és kárpit tiszító";4000;6
"Töltőhuzalos hegesztő";3500;6
"Lézerszintező";4000;6
"Vonallézer";1000;6
"Ragasztókeverő";3000;6
"Kalocsa szekrény";1000;6
"Raklap emelő";2500;6
"Kőmosó";3500;6
"Kőmosó (nagy)";4000;6
"Csavarbehajtó";2000;6
"Gipszkarton csavarozó gép";2500;6
"Csavarbehajtó";3000;6
"Fúrószár";300;6
"Multigép";2500;6
"Kézi menetmetsző";2000;6
"Szögbelövő";3000;6
"Áramfejlesztő G7";6000;8
"Hegesztő áramfejlesztő";6000;8
"Áramfejlesztő";6000;8
"Áramfejlesztő TR 12";8500;8
"Áramfejlesztő TR 6,5";6000;8
"Dekopír fűrész";3000;4
"Kézi körfűrész";3000;4
"Elektromos körfűrész";3000;4
"Szúrófűrész";3000;4
"Szalagcsiszoló";3000;4
"Asztali fűrész (állvánnyal)";8000;4
"Benzines láncfűrész";5000;4
"Térkő roppantó";3000;7
"Térkő roppantó";4000;7
"Csőroppantó";3000;7
"Talajfúrógép";8000;3
"Vésőkalapács";3500;3
"Vésőkalapács";5000;3
"Eletromos Véső kalapács";5000;3
"Eletromos Bontó kalapács";5000;3
"Eletromos Bontó kalapács";8000;3
"Levegő Bontó kalapács";4000;3
"Fúrókalapács";3500;3
"Bontókalapács";6000;3
"Elektromos bontókalapács";7000;3
"Rotoros simító";13000;9
"Egytárcsás simító";13000;9
"Benzinmotoros simító";10000;9
"PG-gázos hőlégfúvó";3500;10
"Gázolajos hőlégfúvó";6000;10
"Elektromos hőlégfúvó(220V)";3000;10
"Elektromos hőlégfúvó(380V)";5000;10
"Vizes téglavágó";7000;11
"Kőzetvágó (száraz,kézi)";4500;11
"Asztali csempevágó (száraz,elektromos)";3000;11
"Kőzetcsiszoló (kézi,vizes)";3000;11
"Hézagvágó (benzines)";4500;11
"Vizes csempevágó";5000;11
"Vizes kőzetvágó";5000;11
"Falhorony vágó";4000;11
